index,image_path,location,location_normalized,year,taluk_norm,locality_norm
200,F:\images\2020\Madhavaram_Chettimedu.png,Madhavaram_Chettimedu,madhavaram chettimedu,2020,madhavaram,chettimedu
201,F:\images\2021\Madhavaram_Chettimedu.png,Madhavaram_Chettimedu,madhavaram chettimedu,2021,madhavaram,chettimedu
202,F:\images\2022\Madhavaram_Chettimedu.png,Madhavaram_Chettimedu,madhavaram chettimedu,2022,madhavaram,chettimedu
203,F:\images\2024\Madhavaram_Chettimedu.png,Madhavaram_Chettimedu,madhavaram chettimedu,2024,madhavaram,chettimedu
204,F:\images\2025\Madhavaram_Chettimedu.png,Madhavaram_Chettimedu,madhavaram chettimedu,2025,madhavaram,chettimedu
205,F:\images\2014\Madhavaram_Kadhirvedu.png,Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2014,madhavaram,kadhirvedu
206,F:\images\2020\Madhavaram_Kadhirvedu.png,Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2020,madhavaram,kadhirvedu
207,F:\images\2021\Madhavaram_Kadhirvedu.png,Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2021,madhavaram,kadhirvedu
208,F:\images\2022\Madhavaram_Kadhirvedu.png,Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2022,madhavaram,kadhirvedu
209,F:\images\2024\Madhavaram_Kadhirvedu.png,Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2024,madhavaram,kadhirvedu
210,F:\images\2025\Madhavaram_Kadhirvedu.png,Madhavaram_Kadhirvedu,madhavaram kadhirvedu,2025,madhavaram,kadhirvedu
211,F:\images\2014\Madhavaram_Kosapur.png,Madhavaram_Kosapur,madhavaram kosapur,2014,madhavaram,kosapur
212,F:\images\2020\Madhavaram_Kosapur.png,Madhavaram_Kosapur,madhavaram kosapur,2020,madhavaram,kosapur
213,F:\images\2021\Madhavaram_Kosapur.png,Madhavaram_Kosapur,madhavaram kosapur,2021,madhavaram,kosapur
214,F:\images\2022\Madhavaram_Kosapur.png,Madhavaram_Kosapur,madhavaram kosapur,2022,madhavaram,kosapur
215,F:\images\2024\Madhavaram_Kosapur.png,Madhavaram_Kosapur,madhavaram kosapur,2024,madhavaram,kosapur
216,F:\images\2025\Madhavaram_Kosapur.png,Madhavaram_Kosapur,madhavaram kosapur,2025,madhavaram,kosapur
